IBAN,fecha,sueldo,DNI,IdOp
ES1420388451706894185414, 2020-01-01, 1843.69, 31548406L, 2
ES5301283365454746144554, 2020-05-01, 1953.65, 03515632J, 5
ES6800757273844694463726, 2020-08-01, 1924.13, 74349447S, 8
ES2320389647658772521191, 2019-03-01, 2239.47, 16631029M, 13
ES3320384486405959669997, 2019-05-01, 3498.89, 33861103C, 15
ES8430043356362853958586, 2020-11-01, 1687.46, 19107340K, 20
ES5400751773514812183927, 2019-09-01, 2441.87, 76582304D, 17
ES9321005688115181572498, 2019-12-01, 2165.55, 21279166A, 7
ES4220803716294785241231, 2020-06-01, 1269.36, 06670544S, 9
ES8631902659473586529597, 2019-04-01, 2013.26, 12345678Z, 11
